country	lookback	lookahead	num_layers	train_rmse	test_rmse
Germany	4	1	5	809.8664376446961	9058.052111726418
Germany	4	2	5	1436.0482167848993	26667.074308932213
Germany	4	3	5	1099.9634846114866	23032.84460278196
Germany	4	4	5	1338.8415034821298	56379.37276777378
Germany	4	5	5	1286.6320961274516	64312.64143820468
Germany	5	1	5	939.3100574616138	9975.63067960437
Germany	5	2	5	1051.129576566248	11766.17811023295
Germany	5	3	5	1129.345252104307	14546.652888420938
Germany	5	4	5	1380.0099391580532	86377.89274329948
Germany	5	5	5	1491.673381864493	113511.58163215166
Iran	1	1	5	437.97599407038746	5740.90006410459
Iran	1	2	5	848.2949691262701	1034.9597690409437
Iran	1	3	5	983.7458280744136	4482.666889149939
Iran	1	4	5	1338.729652086714	1763.6318701420864
Iran	1	5	5	1460.2100547836342	3542.7939695741957
Iran	2	1	5	390.68768999026116	15177.170616805835
Iran	2	2	5	728.5246767664696	9714.070153189376
Iran	2	3	5	1116.1493561297502	5448.532139651945
Iran	2	4	5	1122.156743238064	13641.967014606342
Iran	2	5	5	1466.5853204208654	7173.465033084102
Iran	3	1	5	469.3733666809366	13787.028577337836
Iran	3	2	5	687.0524129072223	18001.38838443056
Iran	3	3	5	942.304550124183	20308.68798879575
Iran	3	4	5	1029.246289807317	21586.681497071007
Iran	3	5	5	1238.9042391807543	24266.223303285406
Iran	4	1	5	480.564456583211	21383.45983132916
Iran	4	2	5	704.5451518639184	19756.169946434835
Iran	4	3	5	792.653110851171	24680.587000976775
Iran	4	4	5	1026.420459205074	18306.73232656473
Iran	4	5	5	1251.7447336439868	30390.015343955667
Iran	5	1	5	435.8709047320357	21490.14836277697
Iran	5	2	5	603.5890078206478	24277.803718001313
Iran	5	3	5	797.1667380322178	28267.065888428067
Iran	5	4	5	938.1031917735263	30270.08083443107
Iran	5	5	5	1529.3187986193523	18010.426893591404
Korea, South	1	1	5	204.04096904623813	675.8918581157648
Korea, South	1	2	5	316.58434667916123	840.6005863777951
Korea, South	1	3	5	577.1661108549533	346.1027809498947
Korea, South	1	4	5	612.4759715594976	928.4673007197126
Korea, South	1	5	5	845.8883708919666	664.5376871411191
Korea, South	2	1	5	205.1968185975594	952.0395325290647
Korea, South	2	2	5	282.42726713964413	1385.2391293124804
Korea, South	2	3	5	380.3281678588156	1063.4412745964758
Korea, South	2	4	5	461.7541068096086	1344.926717875124
Korea, South	2	5	5	610.3859182088461	1751.8001529753708
Korea, South	3	1	5	200.52843340747324	1074.2787441413634
Korea, South	3	2	5	236.58202012903817	1185.3687776804081
Korea, South	3	3	5	396.179223905088	1645.402999961406
Korea, South	3	4	5	394.7542919781489	1561.4781425215856
Korea, South	3	5	5	472.37447883421225	1336.908598050735
Korea, South	4	1	5	176.42084438442052	1097.4346751723772
Korea, South	4	2	5	298.2913129453261	1431.8407006999403
Korea, South	4	3	5	248.20523495793665	1130.6128705018527
Korea, South	4	4	5	402.80391091377226	1628.6953946262392
Korea, South	4	5	5	601.1122793831538	1944.4340063245852
Korea, South	5	1	5	248.7767629073775	1300.0549835544198
